feature,importance
Dport110,0.0
Dport111,0.0
Dport135,0.0
Dport139,0.0
Dport143,0.0
Dport1723,0.0
Dport21,0.0
Dport22,0.028992153635785285
Dport23,0.0
Dport25,0.0
Dport3306,0.0
Dport3389,0.0
Dport443,0.052632308921115395
Dport445,0.0
Dport53,0.006191183228529418
Dport5900,0.0
Dport80,0.0004023435357563425
Dport8080,0.0
Dport993,0.0
Dport995,0.0
Dportother,0.11090600687054064
FGack,0.2746445907490891
FGcwr,0.0
FGece,0.0
FGfin,1.3533553696043826e-05
FGns,0.0
FGpsh,0.0449745323411918
FGrst,7.78549343881468e-05
FGsyn,0.23842275160149004
FGurg,0.0
Sport110,0.0
Sport111,0.0
Sport135,0.0
Sport139,0.0
Sport143,0.0
Sport1723,0.0
Sport21,0.0
Sport22,0.0166192036929329
Sport23,0.0
Sport25,0.0
Sport3306,0.0
Sport3389,0.0
Sport443,0.10308386492610794
Sport445,0.0
Sport53,0.004394458266073793
Sport5900,0.0
Sport80,0.002496826552246017
Sport8080,0.0
Sport993,0.0
Sport995,0.0
Sportother,0.11614838719105719
