fpr,tpr
0.0,0.0
0.0,0.0038967485728468605
0.0,0.008041697691734922
0.0,0.6381236038719286
1.1339925610087997e-05,0.6403325887316952
0.0006350358341649278,0.6492926284437825
0.0006350358341649278,0.6494911888806155
0.0006350358341649278,0.9805162571357657
0.0006350358341649278,0.9825763216679076
0.0006350358341649278,0.98265078183172
0.0013267712963802958,0.9923802432365352
0.0013267712963802958,0.9924547034003475
0.0013607910732105597,0.9926036237279722
0.0013607910732105597,0.9929014643832217
0.0037194956001088634,0.9932489451476794
0.0037535153769391273,0.9933482253660958
0.0037535153769391273,0.9936212459667412
0.0039576340379207115,0.9938694465127823
0.004388551211104055,0.9938694465127823
0.004422570987934319,0.9938942665673864
0.006940034473373854,0.9949615289153636
0.006940034473373854,0.9950111690245719
0.00724621246484623,0.9950111690245719
0.007461671051437903,0.9950111690245719
0.007461671051437903,0.9950608091337801
0.007665789712419486,0.9950608091337801
0.007665789712419486,0.995234549516009
0.007688469563639663,0.9973690742119633
0.007688469563639663,0.9976172747580044
0.007688469563639663,0.9976669148672127
0.007688469563639663,0.997939935467858
0.007688469563639663,0.9980392156862745
0.007688469563639663,0.9981136758500869
0.007847228522180895,0.9981136758500869
0.007847228522180895,0.9984115165053363
0.008005987480722126,0.9993298585256888
0.008300825546584414,0.9993298585256888
0.008402884877075207,1.0
1.0,1.0
